ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
139	-0.0197517	-0.0282442	-0.030157	0.0017962	0.0144735	-0.0416566	0.0011061	-0.0539876	-0.0687737	-0.0663283
140	-0.0236748	0.0248331	0.0105761	-0.0460804	0.00502329	0.0978711	-0.0153944	0.00431478	0.0344772	0.0700813
141	0.00151492	-0.0171782	-0.0193717	-0.0112005	0.0389171	-0.00343734	0.0179527	-0.0206333	0.0268385	0.0707342
142	-0.0123078	-0.00452554	0.0217706	-0.00426172	-0.0180839	-0.00258646	-0.0100532	0.0132857	-0.0454501	0.0119699
143	0.170275	-0.023988	0.0841942	-0.0251044	-0.216606	-0.143091	0.0157109	0.0528148	-0.0427102	0.0235483
144	-0.018727	0.0102124	0.0119348	0.0219302	-0.0480782	0.0108274	-0.0236512	0.00910561	-0.0980769	-0.0470896
145	-0.0126623	-0.0196111	0.000662702	-0.00407223	0.0690134	0.0170776	0.0173346	0.0172479	-0.0174666	-0.0150218
146	0.0469107	0.103782	0.0517729	0.0269105	-0.0536947	-0.0480513	-0.0102687	-0.00564243	0.0447403	-0.0401354
147	-0.00571488	0.0328168	-0.021536	-0.0160257	0.00495402	0.0180348	0.0238031	0.0152916	-0.0182791	0.030113
148	-0.016546	0.0190583	-0.00749696	-0.00209195	0.00973001	-0.0253517	-0.0383026	-0.0369463	-0.0146694	-0.00618444
149	0.0161843	-0.00309005	0.0125751	0.056114	-0.0387156	0.0159173	-0.0102967	-0.0313012	-0.00265105	-0.0061564
150	0.0348885	0.10022	0.0768415	0.0582077	0.0568975	0.0496707	0.0430114	0.0894833	0.101666	0.0578804
151	0.164067	0.208302	0.0784796	-0.133699	-0.217193	0.0310729	-0.128979	0.11554	-0.391972	0.0346961
152	-0.0143773	-0.00506056	-0.00687635	0.0188632	0.00410828	-0.0270311	-0.0387661	0.0373214	0.0449578	-0.0111737
153	-0.0340111	0.0392777	0.00576662	0.0199121	-0.0199775	-0.0139315	0.0470591	-0.0323132	-0.0403251	0.0158506
154	0.00326285	0.0412837	-0.00985451	-0.00124434	0.0197333	0.0216954	0.0212543	0.0135632	0.00270654	0.0484482
155	0.0104314	0.0288413	-0.0111305	-0.0153204	0.0284391	0.0169768	-0.036746	0.000125993	0.0427501	-0.0290929
156	-0.013174	0.023201	-0.0323258	-0.00678318	0.0475507	0.036835	0.0138243	0.070134	-0.0119536	0.0067836
157	-0.0213198	0.00704656	0.0126314	0.0144644	0.00307228	-0.0322588	0.025568	-0.0150844	-0.0123812	-0.00124781
158	-0.00894029	-0.00256481	0.0300651	-0.0135959	0.0135314	-0.0169654	0.0283347	-0.128063	-0.00727281	-0.0908395
159	0.00179843	-0.0100186	0.0209703	-0.0140977	-0.0146539	0.0209106	0.0346522	0.0539808	-0.000800411	-0.0205432
160	-0.0264443	0.0274638	-0.00682915	-0.055168	-0.00895964	-0.0301363	-0.0125089	-0.00617174	-0.0458629	-0.0347722
161	-0.0106021	-0.0162133	0.00243025	-0.0218015	0.032682	0.0237923	-0.0360426	0.0396112	0.0184806	-0.0381702
162	-0.00591304	0.0109057	-0.0329813	-0.0619257	0.00687669	0.0338454	0.0468556	0.0165622	0.0325776	0.0418926
163	-0.0178843	-0.0200811	-0.055661	0.0507311	0.0139599	0.00407405	-0.00309578	-0.00602519	0.00266211	0.0179813
164	-0.0104865	-0.0241374	-0.0302798	0.0384287	-0.00227685	-0.0610544	-0.0355159	-0.0155672	0.0219694	0.0563453
166	0.0790993	-0.0217713	-0.00967701	0.00397413	-0.0137347	0.0540733	0.0309744	-0.00635457	-0.00180107	-0.0119873
167	-0.00958939	0.0575568	0.0109408	0.0121939	-0.0592043	0.00222267	0.0190862	-0.00471295	0.0371523	0.0122923
168	-0.00416275	-0.0133789	-0.0323641	-0.026731	-0.0520637	-0.054224	0.0354375	-0.00476098	0.0607828	-0.0427725
169	-0.0257706	-0.0411732	0.0233398	0.00358483	-0.0314198	0.0384419	-0.0183535	-0.0133934	0.0116162	-0.0378107
170	-0.013016	-0.0137753	-0.0180188	0.00806113	-0.064572	-0.0867633	-0.0152742	0.034226	-0.0108823	-0.0195121
171	-0.0100793	0.000248381	-0.0327783	0.0360621	0.0527674	-0.00139892	-0.0296714	0.0294321	-0.0109782	0.0224036
172	0.044404	0.0289839	0.046888	0.0531152	0.0109451	0.0650308	-0.0388529	0.0129304	0.0336667	-0.0538435
173	0.0187005	0.0380078	-0.0322103	-0.0312051	0.0155261	0.0374489	-0.00666916	0.0350143	-0.000505385	0.00419191
174	0.00169142	0.00426865	-0.0037413	-0.0214367	0.0206119	0.0338251	0.0157991	0.00496485	-0.00597619	0.0110787
175	0.246482	-0.0206207	0.233641	-0.337298	0.191008	0.053127	0.247116	0.132015	0.111031	-0.261361
176	-0.00382468	-0.0245486	-0.0294823	-0.0270481	-0.0325903	-0.0123447	0.0081951	-0.051605	-0.0117924	-0.0419953
177	-0.00184013	-0.00214045	0.000320597	-0.0172249	-0.0366368	-0.040767	-0.00735531	-0.000362457	-0.0469021	-0.00842691
178	0.0407638	-0.014874	0.0132203	0.0120826	0.0272349	0.0202305	-0.0403144	0.0698402	0.0377095	-0.0306675
179	0.0106639	-0.0168028	-0.00346051	0.0681035	-0.0368103	-0.0566451	-0.0130724	0.0254384	-0.0040512	0.0230549
180	-0.00129924	0.00482377	0.0175494	-0.024099	0.0381192	-0.00112619	-0.000587993	0.0238087	-0.0264263	0.0120613
181	-0.0256801	0.0304761	0.0296983	-0.0220863	0.0263296	0.0219122	-0.00976775	-0.0830669	-0.0164172	-0.052398
182	0.0110238	-0.00208755	-0.0118795	0.0199578	0.0167205	-0.0102825	0.00677534	-0.0612067	-0.0344546	0.0074732
183	-0.0169362	-0.0200468	-0.0514558	-0.00490237	0.0144114	-0.0209178	-0.00873266	-0.0127041	0.0517389	0.0368824
184	-0.0125629	-0.00261997	0.0171436	-0.0203274	-0.000734246	0.0192019	-0.0229881	0.000323017	-0.0897336	-0.047637
185	0.0445072	-0.0285136	0.0645282	0.054413	-0.0202316	0.0549709	0.100338	0.000920282	-0.0319719	0.061568
186	-0.00271265	-0.0142165	0.0297007	-0.0473922	-0.0585131	0.0249825	-0.0256051	-0.0530867	0.0174863	-0.00785879
187	-0.0058975	-0.035379	0.018688	-0.0789337	-0.0042672	-0.00485905	-0.000623382	0.0087453	0.0253513	-0.0431237
188	-0.00630283	-0.0283023	-0.0214934	0.00690722	0.0332315	0.00954156	0.0183521	0.0142886	-0.0482273	-0.00968426
189	-0.0292369	-0.0350496	-0.030293	0.00705355	-0.0595525	0.00544596	0.00479388	-0.0124013	0.0331592	-0.0156328
190	4.92E-05	0.0142243	0.0188778	0.0786978	0.0191254	0.0520927	0.0413853	0.0147068	-0.0152804	-0.0153841
191	0.0532946	-0.00633305	0.068239	-0.0346947	-0.0353079	-0.0826639	-0.100549	-0.025177	0.0351364	-0.058416
192	0.00518699	0.00483562	-0.0271515	-0.0120989	0.025268	-0.0147539	-0.0604381	0.0375037	0.00223661	0.0406171
193	0.00750972	-0.0238487	0.0544762	0.0276252	-0.0275406	0.0393437	0.038256	-0.0395862	0.0669944	-0.0431449
194	0.0292523	0.121081	0.135931	0.0970898	-0.0168996	-0.0378638	-0.0682475	-0.0353477	0.0101046	-0.00307706
195	-0.0155407	-0.0174226	0.00152172	-0.0151649	0.0191035	-0.017069	0.0316851	-0.00229556	0.00586888	-0.0192812
196	-0.0148903	-0.0278316	-0.0207631	-0.0302839	-0.00826565	0.0064333	-0.0362882	-0.0260452	0.025795	0.00152582
197	-0.0098785	-0.002245	-0.0220515	0.0162849	-0.00666065	0.0184132	0.0219613	0.0417893	-0.0675215	-0.0265588
198	-0.0255	0.00186162	-0.0533568	-0.000975852	0.0287232	-0.0232328	-0.0153067	-0.0136716	0.00548666	-0.0121055
199	-0.0114659	-0.0394892	0.0151253	0.0304239	-0.00618683	0.00842982	0.0107941	0.0242787	-0.00656771	0.0144339
200	-0.0150411	0.00817722	0.0144096	-0.0453083	0.0176564	0.0374514	-0.010454	-0.0306769	0.0520096	0.0114169
201	-0.0192969	0.0183479	0.00965153	0.019057	-0.0144213	-0.000942653	0.0143824	-0.0263843	-0.0386342	-0.0482508
