"cyto" "RNA" "cytokine"
"X159" -0.213613760533305 -0.157510058798335 "GRO.alpha"
"X160" 0.665917178412263 1.15728231435699 "GRO.alpha"
"X161" 0.332840441617253 0.0892293235914255 "GRO.alpha"
"X162" -0.654304350907911 0.100503666245965 "GRO.alpha"
"X163" 1.20487378968913 0.341096716890452 "GRO.alpha"
"X164" 0.813231360573469 0.118750763867322 "GRO.alpha"
"X165" 0.466838770380448 -0.550107848613253 "GRO.alpha"
"X166" 0.0688660904413669 0.532668151247967 "GRO.alpha"
"X167" -0.958820627149737 -1.2104840869166 "GRO.alpha"
"X168" -0.192707882866375 0.15630121774925 "GRO.alpha"
"X169" -1.11229651244045 0.189987012103011 "GRO.alpha"
"X170" -1.4832332404567 0.263841112621414 "GRO.alpha"
"X171" -0.489532163456388 -0.0372554347948548 "GRO.alpha"
"X172" 0.116775572322169 -0.500339123225248 "GRO.alpha"
"X173" -1.65400609743775 -0.921681403904756 "GRO.alpha"
"X174" -1.29872818708165 -0.366238558027948 "GRO.alpha"
"X175" -1.21969768066197 -0.340048287804154 "GRO.alpha"
"X176" -0.498954434110324 0.303418747767056 "GRO.alpha"
"X177" -0.269866611004859 0.644263786826243 "GRO.alpha"
"X178" 2.38917720290413 0.274072794311297 "GRO.alpha"
"X179" 1.94017539755721 1.07392558906205 "GRO.alpha"
"X180" 0.608583476405446 -0.246754529866958 "GRO.alpha"
"X181" 1.08817007296716 -0.331309311331297 "GRO.alpha"
"X182" -0.0299444159668691 0.176849856789796 "GRO.alpha"
"X183" 0.113681360130532 0.100316558959921 "GRO.alpha"
"X184" 1.73454178990677 -0.396539037333197 "GRO.alpha"
"X185" -0.836451986897028 -0.0370366030186353 "GRO.alpha"
"X186" -0.956962382465572 -0.525079812575243 "GRO.alpha"
"X187" -0.622897714924457 -0.219250943908163 "GRO.alpha"
"X188" 0.000377859496544841 -0.209263439887239 "GRO.alpha"
"X189" -0.66878964115465 -0.386210920960313 "GRO.alpha"
"X190" -0.458190781292144 -0.490792604515956 "GRO.alpha"
"X191" -0.122637135665266 -0.477420298494816 "GRO.alpha"
"X192" -1.37957954587024 -0.958220172140388 "GRO.alpha"
"X193" -1.65346416653298 -0.293372815830999 "GRO.alpha"
"X194" -0.533113051939651 0.219743251387551 "GRO.alpha"
"X195" -0.286168376903427 -0.266794615366797 "GRO.alpha"
"X196" 0.0896065305379633 -0.00744870451267732 "GRO.alpha"
"X197" 2.34067284081764 0.651683316438953 "GRO.alpha"
"X198" 0.209886850241526 -0.588222044897711 "GRO.alpha"
"X199" -2.06463100959294 -1.09946721245517 "GRO.alpha"
"X200" -1.28445114662261 -0.4915177585568 "GRO.alpha"
"X201" -1.04998453406216 -0.701867774482966 "GRO.alpha"
"X202" -1.37587669875683 -1.27466688604596 "GRO.alpha"
"X203" 0.195043213426822 -0.871728900833886 "GRO.alpha"
"X204" -0.12753839576816 0.0969112026508643 "GRO.alpha"
"X205" -0.465506376320395 -0.95318352615882 "GRO.alpha"
"X206" -0.535594667885656 -0.356008679037821 "GRO.alpha"
"X207" -0.606271552550102 -0.795514582202364 "GRO.alpha"
"X208" 1.27974050121701 -0.411037593996744 "GRO.alpha"
"X210" 0.588307179412894 -0.589394095475265 "GRO.alpha"
"X211" 2.1432553543221 0.926874396543292 "GRO.alpha"
"X212" 0.304883902945812 -0.640840264346637 "GRO.alpha"
"X213" 0.214936203853011 0.330477762145191 "GRO.alpha"
"X214" -0.627287731844759 -0.448706841012077 "GRO.alpha"
"X215" 0.299392578400267 1.20734799402557 "GRO.alpha"
"X216" -0.158192854183338 0.0684915383046381 "GRO.alpha"
"X217" NA 0.626799889274836 "GRO.alpha"
"X218" 0.788865822308328 0.476828277870132 "GRO.alpha"
"X219" 0.363580425900261 0.481624114970538 "GRO.alpha"
"X220" 0.426922441931499 0.726192870205722 "GRO.alpha"
"X221" 0.621193871201828 0.532108877860199 "GRO.alpha"
"X222" 1.71970758207558 0.124792727343014 "GRO.alpha"
"X223" -1.07575351745675 -0.214726157803283 "GRO.alpha"
"X224" 0.814989905455332 1.12206723345639 "GRO.alpha"
"X225" 1.3851185778958 -0.13222547744929 "GRO.alpha"
