"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X64" 8.509315899 7.571154855 6.360569823 4.539906458 15.57199982 6.788797769 5.760670239 6.953041788 7.137928714 7.966611998 6.912359924 9.450070627 7.126064428 7.09447138 9.302128608 12.2469181 6.423959429 7.042094365 7.312990031 7.356206817 7.087740554 7.438428151 7.062843938 7.074513418 7.571243809 6.983807492 5.780629849 14.41675533
"X65" 8.625127928 7.813235524 6.402088325 5.709961009 15.69954826 9.218737576 6.735965817 6.96740134 7.236482779 8.883686301 6.873115822 9.640521293 7.106395725 7.168275255 9.720416943 12.34491258 6.14651664 7.059002312 7.178437975 7.267452239 7.244038928 8.088876869 7.006845906 7.062330138 7.548886158 6.911425129 5.601940122 14.56159142
"X66" 8.589473625 7.842165276 6.413925004 5.280493981 15.66183815 8.322804064 6.820696194 6.858334676 7.111680247 8.499911223 6.835192444 10.24764147 7.01022243 7.051484022 10.23488921 12.23636175 6.04062365 7.030216616 7.150177698 7.241039181 7.200752581 8.459086098 7.093012083 7.09645281 7.555691451 6.94565099 5.724557439 14.39902987
"X67" 8.409101549 7.684705245 6.791216289 6.010628458 15.41366835 8.650384255 6.872707596 7.001011922 7.220531109 8.369785682 6.905049294 10.10212946 6.944554141 7.13483688 10.29152398 12.72066016 6.149462229 7.037181532 7.225155524 7.284845693 7.161607928 7.9815769 7.136332307 7.200217707 7.597951918 7.104699279 5.776925744 14.26082147
"X68" 8.818119717 7.765947247 7.935480608 9.206533634 15.72923279 8.533583893 7.65359262 7.032945699 7.070326139 8.579600219 6.82957683 12.07182667 7.070788692 7.723698438 10.28995659 12.82771846 6.294682178 7.034206195 7.176555123 7.186610686 7.200587415 7.761633319 7.291657322 7.056972311 7.444835053 7.017197725 5.798404404 14.34852336
"X69" 8.373362253 7.641932769 6.481169919 5.878453378 15.67626386 8.302547056 6.667691327 6.990242513 7.43839692 8.533983031 6.911184267 10.07091236 7.057139064 7.203535537 10.26918697 12.54911559 6.003485056 7.223720902 7.137914794 7.23270767 7.134570896 7.610109091 7.122727384 7.022745203 7.52164436 7.064797188 5.954209855 14.33050618
"X70" 8.623019875 7.829871511 6.506601757 5.94904717 15.87092837 8.427553117 7.257557876 7.014363694 7.148394824 8.522610369 6.859596484 11.0592079 7.017299958 7.162969224 10.35620759 11.68036289 5.965290601 7.095887284 7.132792897 7.237656338 7.061201306 7.692001962 7.0840438 7.071639627 7.540649127 6.935804986 5.705703207 14.3580423
"X71" 8.780666109 7.786313996 6.410059379 4.995285444 15.44754263 8.305448876 6.24623535 7.019606182 7.502293611 8.619379045 6.885509125 9.372679037 6.998723743 7.125979836 9.385725883 12.65303012 6.184159939 7.081519662 7.214662201 7.100345727 7.163544827 7.945087277 7.07678163 6.930896107 7.555953837 7.036714067 5.626091939 14.32676018
"X72" 8.528658645 7.801882786 6.449958654 6.148822834 15.60895815 9.501154551 6.888514141 7.035559432 7.920939154 8.808377238 6.861841542 10.2702809 6.995792474 7.173204185 10.13898688 12.1010253 6.358806151 6.983124538 7.19196906 7.172913195 7.257654257 8.716913361 7.085076142 7.144114306 7.566136946 6.89894935 5.757815155 14.35549812
"X73" 8.397921394 7.9115554 6.310794546 4.388457638 15.68287425 7.624781421 6.184636403 6.980545093 7.151607826 8.269719445 6.932125638 9.405021104 7.002367631 7.140381486 9.900056126 12.17831664 6.138006619 7.064135157 7.263070568 7.288241341 7.306911818 7.247946735 6.983740837 7.05522326 7.512614136 6.913706462 5.720623066 14.39640405
