"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X46" 9.031253538 7.148212792 7.278938885 9.999130798 8.26508253 7.284245528 8.731713087 6.957985733 7.25501995 8.309726265 6.960472762 9.965241593 7.215078429 7.921210118 8.836606032 13.3335631 6.903382191 7.036338226 7.130775128 7.264464243 7.223094267 6.996343641 7.050438501 7.085697657 7.979416367 7.075377584 7.120427172 7.084921455
"X47" 9.257387807 7.204574002 7.127821663 8.996538047 9.056951949 7.258525371 8.073721676 7.370222099 7.146778535 8.571130787 6.809369791 8.884990889 7.024540452 6.675197859 8.0664912 12.67533303 7.507378025 7.021143256 7.275473346 7.086437734 7.075222282 8.039649964 7.016306008 7.070990689 7.812799652 7.027536128 7.431175664 7.861453411
"X48" 10.09806788 7.066159409 7.086341017 10.24578162 10.28730046 7.635101627 8.922070305 6.864331567 6.934258215 9.096739601 6.830107076 8.923171993 7.040440041 6.813989279 8.879167756 13.1915353 6.866387488 6.943099772 7.153687701 7.412770488 7.18997149 6.735803771 7.180630287 7.060751439 7.62655824 7.140787243 7.52037702 7.293909534
"X49" 9.896925166 7.063846276 7.915860214 10.71639091 9.64743711 7.892060367 9.657990399 6.994996614 7.205748747 8.41284545 6.88256757 10.31634232 7.028054674 6.67725143 8.386613756 12.74771978 7.080354695 7.076466611 7.125188571 7.244782302 7.138810125 7.121562474 7.098841359 7.086080069 7.334643699 7.216937418 7.097089872 7.21440151
"X50" 10.30644515 7.332823346 7.09691976 9.708209682 9.787126599 8.769739657 10.49677103 6.939672384 6.930663977 7.975688183 6.975012298 10.26369377 7.008427525 6.957436757 8.801078651 12.56853597 7.073085117 7.023352121 7.091573528 7.607999042 7.427320498 7.301020583 6.997231818 7.022191949 8.073924689 7.084186591 7.289949776 7.13673537
"X51" 10.36155237 7.211184135 7.145761773 9.129093838 9.783493855 7.795698696 8.480556954 6.93918428 7.562722623 7.747018795 6.985862597 8.598354224 7.0739958 7.98767257 8.988257803 12.40536939 6.83382502 6.99023903 7.258999667 7.180865282 7.20962192 7.818850705 7.168172529 7.046246611 8.056143196 7.136286142 7.227973702 7.237014363
"X52" 9.727694063 7.152965701 7.159922676 9.546033963 9.324185013 7.408298724 8.338533964 7.04358791 6.927870963 8.348755365 6.941077861 9.130190137 7.001760034 6.663467177 8.542483187 12.80968342 6.899357959 6.929848727 7.268977324 7.321517481 7.260469316 7.002219094 7.054807216 7.082745562 7.866907226 7.142403023 7.263471114 7.718736066
"X53" 9.604364287 7.19971614 7.230750612 9.130751281 8.10716472 7.731805685 8.68440169 6.988770519 6.953647892 8.574720442 6.915250433 8.858808417 7.022472876 6.967412536 8.791827356 13.35770859 6.951531219 6.885057256 7.133003998 7.065079321 7.165863506 6.75720877 7.132932866 7.087710096 7.408949041 7.157431783 6.99338916 7.142352716
"X54" 9.530622698 7.13002424 7.139414005 9.09943352 8.704459807 7.677643631 8.578445375 6.776673759 7.071467599 8.033517153 6.818150822 8.75938182 7.020034518 6.94054082 7.875291338 13.19098608 7.165794585 6.93811538 7.196704684 7.266698684 7.337358741 7.441654226 7.029966943 7.11435096 7.791532166 7.14351155 6.851500579 7.205809332
"X55" 10.37060186 7.139879934 7.159739573 9.731242985 8.681403606 8.299084696 8.924547524 8.032344957 7.62216842 8.334541378 6.788218041 9.846901142 7.105724665 7.565826085 8.318734456 11.66914169 6.910889202 7.011469552 7.314733893 7.328683 7.312579242 7.515890462 7.157119832 7.036517845 7.974071578 7.154387336 6.96769232 7.394700397
"X56" 10.00823275 7.320167645 7.222781111 10.64439191 8.97897114 7.547698082 9.603343211 7.039368996 7.002595134 8.85447423 6.875941535 9.782030068 7.049340725 6.982983972 8.199317721 12.86917611 6.873868939 6.974822643 7.084694453 7.184396425 7.308787042 7.281227284 7.003827842 7.096078045 7.745264758 7.073078218 7.393267703 7.392528593
"X57" 9.984025179 7.199241173 6.897143447 9.583084986 8.641524489 7.293539397 9.303683855 6.983822535 6.96715488 8.368654388 6.842520561 8.864490773 7.017612248 6.536223697 8.524995136 13.15115129 6.938504204 6.9814759 7.099570736 7.2060542 7.061359825 7.25996333 7.003894755 7.084568753 7.351794714 7.08685261 7.633070528 7.114614181
"X58" 10.2015458 7.157309049 7.085730448 9.54313616 8.930148552 7.901321877 8.076047843 6.705439203 7.476170105 7.126673925 6.904049472 9.043100045 7.135125975 6.684167027 8.188480375 13.07867359 6.559171609 7.040414102 7.151025014 7.135260354 7.12281864 7.321780477 7.165082559 6.98719056 7.303661732 7.004414837 7.40316372 7.697989598
