"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X65" 10.03879103 7.343682336 11.40746257 10.95413781 11.82111453 10.33769666 8.914093576 7.015090463 7.032722737 9.806968185 6.82642531 13.92855311 7.038759086 7.589149393 8.206149918 12.78512844 7.022411741 7.074725473 7.309261202 7.21867119 7.315884467 6.609167486 7.066444226 7.10138921 8.195028634 6.907792514 5.882699461 11.68967693
"X66" 8.977401588 7.311618977 10.90870895 10.30419966 11.00095179 10.07407431 7.295877582 6.978860871 7.076580233 8.909505805 6.993537957 13.27368608 7.070588113 7.386311983 8.031601523 13.06736622 6.898409468 7.120880638 7.376068951 7.284334352 7.154871324 6.837075362 7.124988026 7.072277708 8.702175273 6.917702254 5.850973131 11.32324419
"X67" 8.553612839 7.317698139 10.89147112 10.08064251 9.938265867 9.71924118 7.432623678 7.003971341 7.022119968 8.972968913 6.87787191 12.16870076 7.074403947 7.181381429 7.877815291 13.29801915 7.140434932 7.094474683 7.220538398 7.175640072 7.258740637 6.501022512 7.060137701 6.986946052 8.179518333 6.951788089 5.78075831 10.76807224
"X68" 8.432017801 7.369984608 11.04526461 10.63707991 10.26550596 10.31348508 7.80246476 7.012511901 7.235084964 9.130789471 6.798571796 13.05796061 7.158343741 7.325890005 7.938404197 12.89444572 6.933661232 6.9699566 7.223238585 7.196745174 7.219553948 6.444840844 6.953640268 6.939942307 8.234370634 6.851260026 5.92771932 10.95829968
"X69" 9.466240517 7.578344387 11.740326 11.23082914 12.84682483 10.32865123 8.578560124 7.023464385 7.269548289 9.885849842 6.863105711 13.92331904 7.182008979 7.873844148 8.437013459 12.7008658 7.182009114 6.984494371 7.296315149 7.145995157 7.196476959 6.781592484 7.108413969 7.050208422 8.344241818 6.9468854 5.716645991 11.8317711
"X71" 9.951577193 7.540350558 10.82987947 10.68272562 13.50386266 10.44574691 8.417495201 6.962197611 7.626961798 10.67813063 6.946261186 13.61808285 6.980536734 7.398763472 7.758827693 12.76515241 7.618810372 6.979166007 7.229217245 7.281591913 7.23144173 6.722902671 6.98811513 7.057630474 8.295309999 6.958966842 5.833974897 13.01690095
"X72" 8.386570198 7.340993736 11.13787787 10.96259614 8.924052704 10.19955108 7.803594302 7.027369943 7.47803863 8.899473921 6.949314318 13.41737588 7.025610571 7.242263775 8.212517029 12.40572592 7.256317668 7.01168762 7.442171082 7.263119206 7.245088672 6.945730066 7.164052814 6.997795348 8.271632545 6.985794438 5.850654029 10.80297339
"X73" 9.145716342 7.249769681 11.05559199 10.90127796 11.23925825 9.507407119 7.992088294 7.024812883 6.969975603 9.169580561 6.907352453 12.85319019 7.047649473 7.320117927 8.132205237 12.94028634 7.130960745 6.977379353 7.139564925 7.121851394 7.369707373 6.19617031 7.051119545 7.050696685 8.377353826 6.861221735 5.675629556 10.97075865
"X74" 9.715984334 7.38436761 11.08333747 10.77004641 13.84934963 10.41944615 7.375274311 7.014509242 7.509751582 9.637558318 6.871895825 13.02029288 7.084503579 7.490019891 7.916057559 12.60363797 7.036057159 7.086007364 7.287191466 7.097199754 7.136307331 6.906679339 7.144533851 7.15366377 8.259853126 6.964302941 6.054721089 11.3132669
"X75" 7.720042027 7.202938641 11.20121326 11.12244394 9.105483 10.27704375 7.711210067 7.043639318 6.932540585 8.419224039 6.97650356 13.5407549 6.967969035 7.691899872 8.379990142 12.95407217 6.83920983 7.085753183 7.276767486 7.35031262 7.241843102 6.458587713 7.13524623 7.116132902 8.323961435 6.864854272 5.776648249 10.88574933
