"cyto" "RNA" "cytokine"
"X222" "1.71970758207558" "-0.276982652484805" "GRO.alpha"
"X223" "-1.07575351745675" "0.26567158614179" "GRO.alpha"
"X224" "0.814989905455332" "-0.206530360902306" "GRO.alpha"
"X225" "1.3851185778958" "0.298609411161994" "GRO.alpha"
"X226" "1.43538764628541" "-0.246666859467757" "GRO.alpha"
"X227" "-0.377274369329709" "0.126410387031777" "GRO.alpha"
"X228" "-0.20391314765193" "-0.0604120473625814" "GRO.alpha"
"X229" "0.0631533050833325" "-0.0879525516667299" "GRO.alpha"
"X230" "-1.49013321042547" "0.148520676979374" "GRO.alpha"
"X231" "0.290057614258444" "-0.28517038438478" "GRO.alpha"
"X232" "-1.28743471426852" "-0.00809633092895802" "GRO.alpha"
"X233" "-0.459357161858363" "-0.227983537316549" "GRO.alpha"
"X234" "0.381000806953979" "-0.175133978073395" "GRO.alpha"
"X235" "0.70038589456359" "-0.31313648683006" "GRO.alpha"
"X236" "-0.254086195736065" "-0.284211268970429" "GRO.alpha"
"X237" "0.469706549769871" "-0.210954721677004" "GRO.alpha"
"X238" "-0.172375700337146" "-0.000729122153365203" "GRO.alpha"
"X239" "0.892434951352691" "-0.104017496207224" "GRO.alpha"
"X240" "-0.297420350370403" "0.337815614250036" "GRO.alpha"
"X241" "0.771811029877203" "-0.173856612829909" "GRO.alpha"
"X242" "-0.194918456491107" "-0.158194512784647" "GRO.alpha"
"X243" "0.796886213591492" "-0.17926918997061" "GRO.alpha"
"X244" "-1.84265626306456" "0.607384907717209" "GRO.alpha"
"X245" "1.02567396858393" "-0.191609781929235" "GRO.alpha"
"X246" "0.220192131708165" "-0.018384087725525" "GRO.alpha"
"X247" "-0.0966488328819096" "-0.281075141931431" "GRO.alpha"
"X248" "0.958298958416462" "-0.193241363800929" "GRO.alpha"
"X249" "-1.20057861550451" "0.210772554996653" "GRO.alpha"
"X250" "-0.0433383350429238" "0.207602685467139" "GRO.alpha"
"X251" "-0.834661373438909" "0.22351836900667" "GRO.alpha"
"X252" "-0.840918183175789" "0.261567433362694" "GRO.alpha"
"X253" "0.540492371393668" "-0.0521805857697214" "GRO.alpha"
"X254" "1.17693747948909" "-0.203298994614319" "GRO.alpha"
"X255" "0.201089441356283" "-0.147937241037575" "GRO.alpha"
"X256" "0.323046172933485" "0.133993227353575" "GRO.alpha"
"X257" "0.91767198760672" "-0.121843356276811" "GRO.alpha"
"X258" "-0.0765427448743838" "0.0317958197173397" "GRO.alpha"
"X259" "1.09946062513448" "0.12257562839086" "GRO.alpha"
"X260" "1.32450771826282" "0.0033313433186604" "GRO.alpha"
"X261" "-0.767845033009631" "0.280581923434202" "GRO.alpha"
"X262" "1.47073134486341" "-0.27367623570656" "GRO.alpha"
"X263" "0.548781955753697" "-0.26947597878663" "GRO.alpha"
"X264" "-0.259161748321821" "0.387813507863181" "GRO.alpha"
"X265" "1.69780204263591" "0.0107853344193752" "GRO.alpha"
"X266" "-1.16862615972953" "0.226236606219006" "GRO.alpha"
"X267" "0.676610005527417" "0.125177462086814" "GRO.alpha"
"X268" "0.677502316570769" "-0.0583288023788575" "GRO.alpha"
"X269" "0.0223542448836875" "-0.132030873529538" "GRO.alpha"
"X270" "0.429346151159743" "-0.05689513670282" "GRO.alpha"
"X271" NA "-0.0401550209349638" "GRO.alpha"
"X272" "0.721318114283947" "-0.0871290868987609" "GRO.alpha"
"X273" "-1.21511108355829" "0.332459458526789" "GRO.alpha"
"X274" "-0.808793897251263" "0.185534306686886" "GRO.alpha"
"X275" "-0.2428386359682" "0.0447876648059007" "GRO.alpha"
"X276" "-0.339667382425545" "0.392690704274236" "GRO.alpha"
"X277" "-0.050472608926372" "0.243586560852341" "GRO.alpha"
"X278" "2.34509473895973" "0.296708967931896" "GRO.alpha"
"X279" "0.55570620855615" "0.363100381591274" "GRO.alpha"
"X280" "1.76476629833786" "0.161915157405058" "GRO.alpha"
"X281" "-0.427364520260072" "0.595265443375661" "GRO.alpha"
"X282" "0.170481382254936" "0.475934206553055" "GRO.alpha"
"X283" "0.997603892032647" "0.0204966927897973" "GRO.alpha"
"X284" "-0.446433960765883" "0.0729841878284655" "GRO.alpha"
"X285" "-0.904091834950974" "0.195202322695979" "GRO.alpha"
"X286" "-0.625484631510345" "0.208227857424802" "GRO.alpha"
"X287" "-0.547404736980065" "-0.160566966572909" "GRO.alpha"
"X289" "0.476214441756729" "-0.125322984456914" "GRO.alpha"
"X290" "-0.267837216101348" "-0.00528512247476806" "GRO.alpha"
"X291" "0.180152959892969" "0.134749927168734" "GRO.alpha"
"X292" "-1.57648830795038" "0.139094346090085" "GRO.alpha"
"X293" "-0.137491793162105" "0.0422014417032076" "GRO.alpha"
"X294" "-1.29525413311726" "0.144949442656253" "GRO.alpha"
"X295" "-0.627913825762449" "0.0351394678931354" "GRO.alpha"
"X296" "1.08605564637506" "-0.181264909194568" "GRO.alpha"
"X297" "-1.02508003124837" "-0.421460369148177" "GRO.alpha"
"X298" "0.06332255073432" "-0.438153808000246" "GRO.alpha"
"X299" "-1.53815439372984" "0.0886510070089515" "GRO.alpha"
"X300" "-0.978373984567431" "-0.0549880872798646" "GRO.alpha"
"X301" "1.19398602146608" "0.1321306945647" "GRO.alpha"
"X302" "0.268166238653222" "0.228831022629292" "GRO.alpha"
"X303" "0.638646322025016" "-0.288154270409028" "GRO.alpha"
"X304" "0.946805542717469" "-0.379309615766618" "GRO.alpha"
"X305" "-0.498881685490256" "0.00749873454395029" "GRO.alpha"
"X306" "1.57223564672774" "-0.345376737646436" "GRO.alpha"
